order,set_key,file_path,thumbnail,width,height,date_created,zooniverse_id
1,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/922f209a-d940-45f8-a776-26a5e5a10013.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/6fd7d61c-ba6b-49a2-aca8-91dfa7086739.jpeg,933,1400,Wed May 03 12:46:04 2017,9504390
2,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/9b9c8e33-ce1c-4bd3-b345-b520c6c8e80a.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/a3b4b2a4-a3c8-404c-a577-9fa8d5b4a554.jpeg,933,1400,Wed May 03 12:46:04 2017,9504391
3,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/4f17be2c-9122-44a6-9781-5b636a4c9da1.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/c5da68f8-3c7f-4eca-8009-b96bd2dd07e8.jpeg,933,1400,Wed May 03 12:46:04 2017,9504392
4,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/68793a9d-c3a2-40dc-8b83-e5f69840bd1b.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/98312642-667d-4681-b25e-fc975d85926f.jpeg,933,1400,Wed May 03 12:46:04 2017,9504393
5,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/d53aab0b-ba3d-420a-b670-964979343c86.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/8a85b7a0-35ab-4249-bcc7-12514db24c60.jpeg,933,1400,Wed May 03 12:46:04 2017,9504394
6,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/866db173-eaf5-414e-b37d-89d6fb724002.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/e19d7560-a3fb-4261-b149-37ef36428e4d.jpeg,933,1400,Wed May 03 12:46:04 2017,9504395
7,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/ec8e5e47-c2c1-4181-967b-bf273e29f99d.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/c5d2a379-53b9-41e5-a34a-bce7a5a1122d.jpeg,933,1400,Wed May 03 12:46:04 2017,9504396
8,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/fea149d3-34a7-4785-be32-75903b9ce6d2.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/1bd9e2ce-1df7-44ac-8d48-0cc89543c790.jpeg,933,1400,Wed May 03 12:46:05 2017,9504397
9,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/4f3fce12-5131-472f-9dfd-c7b67cf30bff.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/060dd8af-8b43-49d9-aa9b-1087e162be54.jpeg,933,1400,Wed May 03 12:46:05 2017,9504398
10,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/885fe78c-779b-4e39-8314-f413c77314f9.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/abe8861c-1351-4fc6-b270-101b11e76d27.jpeg,933,1400,Wed May 03 12:46:05 2017,9504399
11,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/b88de059-859e-4fcf-b8f6-96439c048de6.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/598305bc-3ced-4634-bfad-b8e202a521cb.jpeg,933,1400,Wed May 03 12:46:05 2017,9504400
12,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/a9c77177-6793-4d68-a059-565cced295ea.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/f116d2ee-c42f-4ab3-b6e9-90394b347ea1.jpeg,933,1400,Wed May 03 12:46:05 2017,9504401
13,William Baylies 1899,https://panoptes-uploads.zooniverse.org/production/subject_location/baf65c48-741d-454b-96ed-229435df05d6.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/340e821d-b743-4b03-9351-32f50df2ba2a.jpeg,933,1400,Wed May 03 12:46:05 2017,9504402
